OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1
1590	39157022001	0.839910323	-0.470038147	-1.042215107	0.517431386	0.02823706	-1.038797871	-0.940637528	0.738014041	-0.320812418	-0.843192137	-0.194284333	-0.334705551	0.395284927	-0.354376898	-0.021840214	-0.045694418	24498.72478	22309400.9	-0.192982305
1591	39169001300	0.632552846	0.537980056	0.168031826	0.69152603	0.435577537	-0.484713141	-0.940637528	0.768700844	-0.404994415	-0.199246559	-0.194284333	1.637138683	0.305325192	-0.528110467	-0.750231971	-0.09822502	17856.41133	17852643.92	0.098524349
1592	39169003700	0.010480415	-1.18643434	-0.502495023	0.816837173	0.432262428	-0.11586276	-0.940637528	0.621257209	-0.468130912	0.463510913	-0.194284333	-1.244787506	0.11004431	-0.191475493	-1.235826476	-0.104023523	41391.78723	82607153.49	-0.23309784
1593	39041010100	0.632552846	-0.121216964	1.164438135	0.904240705	0.296370837	0.177960255	-0.940637528	0.490442349	-0.156657525	0.360769034	-0.194284333	-1.244787506	0.610728439	-0.528110467	0.706551542	0.307958189	11000.29294	4851351.53	0.154144876
1594	39041010520	-1.6483794	0.553920809	0.590025822	0.830976403	0.416411195	-0.067540047	-0.940637528	0.89913059	0.647280542	0.33182766	0.285539769	-1.244787506	0.625108573	-0.430821182	0.949348795	-0.084736177	17672.2647	19538530.2	0.10704177
1595	39041010420	-0.404234539	0.684259907	0.493911287	0.900534974	0.82779109	-0.050719738	-0.940637528	1.083517952	0.487334749	0.18567372	-0.194284333	-1.244787506	0.381581356	-0.528110467	0.949348795	-0.104533058	12552.59896	6144818.367	0.157915416
1596	39041011740	-0.404234539	0.909305832	2.795541614	1.18084907	1.360882827	1.028545926	0.029451481	0.973963216	None	3.3041068	-0.194284333	-1.244787506	1.004912188	-0.528110467	1.192146047	-0.059005247	13517.40835	10020638.24	None
1597	39041011750	-0.404234539	0.828664376	2.181318547	1.255084331	1.526944692	1.213558123	3.424763013	0.828841902	None	3.511037626	-0.194284333	2.09217966	0.940836112	-0.528110467	1.192146047	-0.072197994	51101.58251	58708954.87	None
1598	39041011412	-0.404234539	0.870860487	2.925210929	1.577281795	2.050954703	1.900757787	-0.455593023	0.954303682	3.349522633	4.361914031	-0.194284333	-1.244787506	1.009358423	-0.528110467	1.192146047	0.003599698	27145.72462	23109113.77	1.085556272
1599	39041011423	-1.233664446	0.944938103	2.733550583	1.563964144	2.058615668	1.740046551	0.029451481	0.713292712	1.169208921	3.490778664	-0.194284333	-1.244787506	0.992075525	-0.528110467	1.192146047	-0.012714666	21092.03672	25274224.85	0.838406686
1600	39041011411	-0.196877062	0.903679684	2.457718927	1.577281795	2.050954703	1.900757787	0.514495986	0.839393108	7.554413363	3.499461077	-0.194284333	-1.244787506	0.823450644	-0.410241026	1.192146047	-0.006775673	18918.61389	8197474.996	1.32879922
1601	39041011530	0.010480415	0.879299709	2.563501789	1.213269903	1.574888404	1.824971907	0.029451481	0.550973855	0.542053047	1.819414299	-0.194284333	-1.244787506	0.785641262	-0.528110467	1.192146047	0.001146642	8196.223109	4071950.639	0.688753528
1602	39147962500	-1.855736877	0.645814562	-0.458703193	0.717690211	0.759371708	-0.032045312	-0.455593023	1.02283699	-0.148239325	0.075696497	-0.194284333	-1.244787506	0.991163017	-0.528110467	-1.235826476	-0.116691919	102049.9872	504325017.8	-0.12859034
1603	39147962600	0.217837892	0.724580636	-0.437660365	0.805484424	0.503393328	0.997083269	-0.455593023	0.442404672	-0.379739816	-0.095057611	-0.194284333	3.07810178	0.406362743	-0.440360909	-0.750231971	-0.109030088	93183.66934	391402521.1	0.269580664
1604	39147963100	0.217837892	0.875548943	-0.373394433	0.849539527	1.046699685	0.185147835	-0.455593023	0.972556907	-0.257675921	0.058331673	-0.194284333	-1.244787506	0.781734388	-0.470486144	-0.264637467	-0.105031994	106298.7695	453364755.6	0.101344127
1605	39041011760	-0.818949492	0.901804301	0.79647302	0.980452356	1.25630369	2.149846876	1.969629499	0.65061572	1.089236025	2.036474606	-0.194284333	-1.244787506	0.829569217	-0.528110467	0.46375429	-0.117357401	48491.98422	123171439.4	0.6387919
1606	39041011710	0.425195369	0.402952502	1.739987899	-0.598039452	-0.231530015	-1.270586336	0.514495986	0.755914301	2.065747185	1.949650483	-0.194284333	0.965411529	1.000022351	-0.381125465	1.192146047	0.011495203	14115.1032	9849102.191	0.521715828
1607	39041011730	-0.196877062	0.773340586	2.202930099	1.18084907	1.360882827	1.028545926	0.514495986	0.745403027	0.979799429	1.809284818	-0.194284333	0.900405671	0.852578151	-0.528110467	1.192146047	0.053382822	18044.69324	12256425.01	0.792173287
1608	39041011421	-0.196877062	0.697387586	2.648241823	1.503569355	1.775828553	1.832008947	0.99954049	0.718731753	4.616461682	2.933657209	-0.194284333	-0.056624954	1.007511108	-0.453274973	1.192146047	0.135266152	17809.08389	16055302.88	1.197455586
1609	39041011540	0.010480415	0.907430449	2.297907185	1.362786069	1.734041471	1.946192446	0.029451481	0.965761514	4.073487804	2.974175133	-0.194284333	-0.076848996	0.942785895	-0.38058611	1.192146047	-0.097845313	19698.44504	16942636.3	1.105442572
1610	39041011560	-0.611592015	0.89430277	2.205205	1.350697921	1.948687784	0.876054872	2.939718509	1.048078436	3.846196413	3.131905623	-0.194284333	0.196175591	0.948274075	-0.511296866	1.192146047	-0.09198338	50532.39706	88327544.48	1.198017903
1611	39041011550	-1.026306969	0.906492758	2.107384289	1.349071998	1.66846361	1.612430783	2.939718509	0.884256907	1.93947419	2.337464898	-0.194284333	1.268772177	0.883989666	-0.52004431	1.192146047	-0.016753707	48431.65559	83714618.62	1.083267282
1612	39147963800	-1.026306969	0.569861562	-0.830649384	0.798434918	0.46560852	-0.109684697	-0.455593023	0.650362353	-0.594403907	-0.575484424	-0.194284333	-1.244787506	0.427919577	-0.466716328	-0.264637467	-0.10786348	92544.81072	402724598.4	-0.184889037
1613	39147963400	1.0472678	0.011935208	-0.875009938	0.933432669	0.976331405	0.740838586	-0.455593023	0.13900882	-0.649122205	-0.545095981	0.449737509	-0.334705551	-0.251867686	-0.276729628	-0.264637467	-0.08170374	40681.93744	81867062.9	0.035255424
1614	39147963600	1.461982753	0.529540834	-0.20220819	-0.171845974	0.91615684	-0.289156751	-0.455593023	-0.127143303	-0.501803711	-0.097951749	-0.194284333	-0.486385876	0.656516315	-0.468888379	0.46375429	-0.079682326	26348.97372	35512359.03	0.059562964
1615	39147963700	0.839910323	0.454525526	0.166325651	-0.685081028	0.91615684	-0.289156751	-0.455593023	0.882403953	-0.421830814	0.386816271	-0.194284333	-0.349873582	0.715288545	-0.442926685	0.46375429	-0.062947506	46474.64782	90445448.46	0.12021798
1616	39147962700	0.010480415	0.742396771	-0.822118508	0.856025991	0.564699621	0.515943391	-0.455593023	0.311886203	-0.476549112	-0.466954271	-0.194284333	-1.244787506	0.762179141	-0.442337857	-0.750231971	-0.100284327	87786.62073	349987038.4	-0.074345586
1617	39147962800	0.425195369	0.501410094	-0.909133442	-2.066324559	0.271967181	0.432254904	-0.455593023	-0.030291642	-0.27030322	-0.928569191	-0.194284333	1.641472407	-0.603786242	-0.528110467	-0.021840214	-0.108252285	21751.69429	27832494.34	-0.177761791
1618	39147962900	0.839910323	-0.668828714	-0.975105549	-2.066324559	0.207002197	-0.628141845	-0.455593023	-0.116738786	-0.851158997	-0.989346077	-0.194284333	0.315352989	-1.13150239	-0.434696884	-0.021840214	-0.071047837	9173.669899	4167008.414	-0.452646481
1619	39147963000	0.217837892	-0.534738851	-0.878422289	-2.066324559	0.271967181	0.432254904	-0.455593023	-0.892145066	-1.196305183	-0.945934015	0.778124575	0.181007555	-1.074092676	-0.409369438	-1.235826476	-0.113142741	25607.37937	31127246.89	-0.495043888
1620	39081011500	-0.611592015	0.82491361	-0.239175319	0.349185477	-0.157269727	0.06964472	-0.455593023	0.305634611	-0.396576215	-0.436565828	-0.194284333	-0.107185063	0.780168582	-0.528110467	-0.507434719	-0.113338969	77253.07814	309199230.7	-0.088598667
1621	39081011300	0.632552846	0.465777822	-0.834061734	0.266297766	-0.380205665	-0.380875959	-0.455593023	-0.084779473	-0.573358408	-0.613108211	-0.194284333	-0.031344898	0.634627365	-0.528110467	0.706551542	-0.070358649	8158.630952	3370435.977	-0.090017092
