OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
139	39061010900	8.040565	14.7058824	20.8567416	26.1185886	13.2179386	1.2314379	37.3053242	Hamilton
140	39061011000	1.5415358	13.3942161	15.1189563	38.6588921	25.7939582	0	82.957465	Hamilton
141	39061011100	5.2754299	7.4651354	2.6344086	8.598244	7.7368041	0.4663364	55.0276887	Hamilton
142	39149972000	2.2645678	16.3534789	9.3944539	31.3173157	22.032641	1.2427506	11.0466722	Shelby
143	39149971600	0.1236604	7.008	5.3946847	4.9258038	4.5065602	0.3297609	0	Shelby
144	39149971400	0.5266938	6.4629435	3.2455315	6.8532819	3.4326425	0.8858032	0.6224563	Shelby
145	39149971500	1.2991636	4.5532157	2.7158099	5.3328561	3.1512605	1.192383	0.5872931	Shelby
146	39007000703	1.0007901	23.8095238	15.610712	45.9046616	24.1935484	12.2201738	15.354227	Ashtabula
147	39007000603	3.127221	14.7759771	7.0630081	21.4474633	12.9418162	4.5486852	3.1509121	Ashtabula
148	39007000601	2.1533812	23.2414181	8.6765995	19.538835	7.4894515	6.8757084	7.0268228	Ashtabula
149	39007000701	2.4514811	30.2030457	23.4906696	39.9727613	10.9452736	12.2574055	9.3632959	Ashtabula
150	39007000602	1.767119	9.4741235	4.7988709	20.2907712	11.9260204	0.6311139	0.5048911	Ashtabula
151	39007000500	0.9350057	8.312611	9.9086758	23.8905496	9.0431125	3.2155074	1.6191562	Ashtabula
152	39007000702	2.281668	9.4759132	7.0788531	11.9762846	6.0521415	5.3894571	2.7537372	Ashtabula
153	39007001400	1.7852621	26.7411168	3.5315424	11.5073765	6.6740007	0.6330717	0.3291973	Ashtabula
154	39007000101	1.3253012	18.9668874	6.5297139	20.8240888	6.052076	6.7269076	19.497992	Ashtabula
155	39061021504	6.6387873	10.409325	1.9173554	20.8208561	6.9338136	7.6842656	61.1256316	Hamilton
156	39061021505	16.2080537	10.2354145	8.5840059	9.4281824	13.8116592	7.4496644	55.4026846	Hamilton
157	39061022602	6.8642161	3.9383562	3.0534351	4.276069	10.9792285	5.7764441	26.9692423	Hamilton
158	39061022400	5.7880677	3.4137728	4.8172758	4.6188341	3.8906414	1.6473731	12.6447017	Hamilton
159	39061022500	6.9901936	8.330149	4.9295775	14.4959128	8.1719128	3.4196631	57.8828263	Hamilton
160	39061023400	2.090301	8.1668115	5.8448459	21.2374582	15.2367879	0.8361204	68.9520624	Hamilton
161	39061021002	0.6234752	7.9695635	1.9758507	11.0870155	9.4833687	0.9487666	0.8945514	Hamilton
162	39061021003	1.4328557	6.3563564	5.7907846	9.5634788	8.5440279	0	0	Hamilton
163	39061020902	3.0235162	13.9163916	11.8262524	24.3601896	8.8769612	0.1493094	14.6323255	Hamilton
164	39061021001	1.8153365	7.6502732	7.9723792	8.6403652	5.3110774	0	5.2269171	Hamilton
165	39061000200	7.6476283	25.8481422	15.826087	49.5643756	27.4949084	0.2904163	94.1916747	Hamilton
166	39061000700	10.0606061	4.853676	5.3789731	13.372093	0.2664298	5.8787879	9.8181818	Hamilton
167	39061000900	5.6852184	20.211827	16.4044944	47.972973	10.172144	11.3704369	29.6828247	Hamilton
168	39061001000	5.229682	11.2512124	9.0116279	33.3568905	9.8887516	4.7349823	33.8515901	Hamilton
169	39061001100	2.0038168	20.1639344	17.8571429	49.1412214	26.0437376	0.7633588	69.0839695	Hamilton
170	39061001600	0	19.9417758	25.4004577	55.8005753	11.423221	0.1908397	68.9885496	Hamilton
171	39061001700	0.4655494	17.2638437	30.2469136	54.4692737	25.1937985	0.744879	72.160149	Hamilton
172	39061001800	2.3963731	7.6547231	5.8536585	22.9927007	1.1428571	2.2020725	28.1735751	Hamilton
173	39061001900	5.1526718	13.2861635	11.0307414	19.5121951	4.7729919	1.4631043	38.8676845	Hamilton
