OBJECTID	FIPS	AvComTm	PerNVHHs	PerColAtt	PerInd	FreRedLun	ValAdd	CoEdSites	UnempRT	MedRnt	MedHmVal	PerLIHTC	mRFEI	PerFamPov	PerPT	IntAcc	JobRatio	Shape_Length	Shape_Area	OI_v1_new
456	39047986300	0.292970621	0.302908781	-0.113809856	-0.189260591	-0.389981687	-1.022904475	-1.023824916	0.445204116	-0.150741595	-0.370135976	-0.073930404	0.071469225	0.667818282	-0.493829803	0.544394415	-0.213495949	28121.33049	27788401.44	-0.107321863
457	39093093100	-0.768549596	0.816381011	-0.430727351	0.698693097	-0.068373361	0.46229081	-0.096832786	0.339288994	0.530037877	0.838233944	-0.073930404	-1.232350295	0.813281954	-0.493829803	-2.224015914	-0.136155718	65759.16292	208839623	-0.064159846
458	39093060100	1.154651514	-0.541990959	0.347704341	0.557762227	-0.500234181	0.46229081	-0.096832786	0.584228298	0.24439614	0.108177117	-0.073930404	2.431429288	-0.529468793	-0.333255604	-0.83981075	-0.029616698	28437.31933	32699746.76	0.184093723
459	39093070901	-0.404972577	0.023816691	-1.101588357	-0.353828603	-0.566282879	-0.874384946	-0.361687681	-0.440669639	-0.407819158	-0.586339418	0.164198544	-1.232350295	-2.755599376	-0.13670432	-0.83981075	-0.033109802	17516.28968	13848962.82	-0.619195785
460	39093071100	-0.092566495	0.551476698	0.223915136	0.185811761	-0.449245615	0.561303828	-0.361687681	0.127550493	0.772833353	-0.167260144	-0.073930404	-0.895880741	0.461460527	-0.493829803	0.544394415	-0.09022463	9260.702057	3780632.749	0.050257544
461	39049008500	1.099980599	0.610731057	1.819415485	1.394427781	1.526458527	1.35340798	2.154433815	0.884062534	0.639533876	1.239543072	-0.073930404	0.010717779	0.450149639	-0.127127494	1.467197857	0.109673346	9670.512425	5486058.703	0.909917216
462	39049008400	0.900647711	0.207421	2.466419256	1.307014961	1.526458527	1.35340798	2.088220091	0.668380814	-0.207869943	2.721869409	-0.073930404	0.599539498	0.743047982	-0.484985447	1.467197857	0.73585611	9239.304467	3832708.48	1.001168463
463	39049008380	0.223879768	0.679223553	-0.092806351	-0.661557405	-1.086397094	0.165251752	1.227441685	0.214458757	0.430063269	0.075598516	0.049633476	-0.107046564	0.229305827	-0.411562187	0.544394415	-0.128233501	19536.04101	19701477.69	0.084477995
464	39049008370	0.273049666	0.744950989	-0.409928802	-0.09694195	-0.764171972	2.541564206	0.76394562	0.359175689	0.444345356	-0.068043496	-0.073930404	1.515484393	0.294579767	-0.493829803	1.005796136	-0.212333263	17225.98839	11487014.71	0.363982008
465	39049008360	-0.085477601	0.746579375	-0.441423515	-0.154027873	-0.992335525	-2.409086739	0.76394562	0.531927603	1.801143605	-0.028060668	-0.073930404	1.358465268	0.869894504	-0.493829803	1.005796136	-0.208124701	11901.91648	7183017.449	0.136965955
466	39049009450	-0.669181077	0.603726846	0.530343085	0.786105917	0.986709602	0.858342885	-0.295473957	0.621447334	0.058729011	0.62943473	0.066962557	0.861238038	0.816650187	-0.493829803	1.467197857	-0.095867859	21202.33954	21226161.86	0.42078346
467	39049009510	0.867160883	0.645582889	-0.965230328	-0.1477841	-0.338787521	-0.52783938	-0.096832786	-0.334817705	0.520516486	-1.316396245	-0.073930404	-1.232350295	-0.19940166	-0.493829803	0.544394415	0.011612793	20240.93433	22435062.65	-0.196120798
468	39049009590	0.103642289	0.624178961	-0.744782495	-0.165623451	0.052827283	-0.329813343	0.234235831	0.137532672	-0.260237594	-0.442697405	-0.073930404	-0.250980764	0.597873019	-0.43493351	1.467197857	-0.003093676	44804.08213	81098288.89	0.031962204
469	39049009492	-0.253525936	0.610192616	0.207331765	-0.529546209	0.301447943	0.066238733	0.366663278	0.644325787	0.539559268	0.068194289	0.130003907	0.730388768	0.48828847	-0.428738263	1.467197857	-0.149832374	56455.30451	76718014.96	0.266136869
470	39049009440	-0.064530998	0.654303541	0.127419829	-0.1477841	-0.338787521	-0.52783938	0.366663278	0.566760626	0.206310575	0.207393765	-0.073930404	-1.232350295	0.46393288	-0.429060378	1.005796136	-0.03611486	22168.97415	15352869.62	0.046761418
471	39049007425	0.656295824	0.492259464	0.194029497	0.435562673	0.387079951	1.056368923	1.227441685	-0.321474322	0.672858745	0.371767615	-0.073930404	-0.57810394	0.492876945	-0.493829803	0.544394415	-0.045855562	11924.53627	4270669.477	0.313608857
472	39049007427	0.378128426	0.518227269	1.64279628	0.82892036	1.749430705	0.759329865	0.76394562	0.846634251	0.315806574	1.070726686	-0.073930404	1.25378585	0.878211514	-0.423770497	0.544394415	0.481391787	14758.13232	12383334.64	0.720876794
473	39049007426	0.754761942	0.617547892	0.505061906	0.706720807	1.402739295	-0.032774285	0.830159343	0.878766143	-0.065049074	0.447290735	0.035799316	1.122936581	0.530284835	-0.211790813	0.544394415	0.197047423	11980.4127	4780040.257	0.516493529
474	39049007010	0.771465975	-0.040061599	1.315047459	1.376588432	1.315462495	-0.032774285	0.76394562	0.451101842	-0.141220204	0.739017296	-0.073930404	2.300580019	0.185494935	-0.417723834	0.082992693	0.262394573	12337.69315	4793123.203	0.553648813
475	39049009382	-0.147682173	0.613649211	-0.794059044	0.725452125	-0.018978188	-0.428826361	0.101808384	0.656013244	-0.031724205	-0.253149183	0.021053615	0.390180662	-0.01185842	-0.493829803	0.544394415	-0.147049525	8142.330642	3345739.868	0.045337172
476	39085200400	0.492723335	0.62356774	-0.06961419	0.667474235	0.846799443	1.155381942	-0.560328851	-0.239643012	0.187267793	0.016364697	-0.073930404	0.49486008	0.651846303	-0.397074808	0.082992693	-0.1728545	10570.97434	3194491.065	0.231614531
477	39085200500	0.156862988	0.676677688	-0.320079124	0.093939104	0.679287611	1.056368923	-0.560328851	0.078152519	2.239127601	0.005998778	-0.073930404	0.782728475	0.868952775	-0.032834144	0.544394415	-0.124623955	7697.057765	2601524.632	0.3794184
478	39023002401	0.313432677	0.047187378	0.097667255	0.580953383	1.478194149	1.551434018	-0.891397469	0.475859629	-0.374494289	-0.145047462	0.070671921	2.117391038	0.696444669	-0.467943993	0.544394415	-0.171200736	35124.02448	37706130.76	0.370221661
479	39023002702	-0.390530785	0.790507351	0.010261015	0.551518454	0.277958251	1.155381942	-0.891397469	0.251348046	-0.441144028	-0.254630028	-0.073930404	1.122936581	0.464993331	-0.493829803	0.544394415	-0.054580645	15555.75831	9720394.955	0.160578514
480	39023001500	0.229067493	0.368013984	-0.600645811	-0.927363733	-1.242806577	-0.725865417	-0.891397469	-0.32206272	0.001600664	-0.851410761	-0.073930404	-0.787462776	0.038749535	-0.214535731	-0.378409028	-0.152907561	8258.306631	3891137.764	-0.408210395
481	39023003002	-0.802710819	0.705294922	-0.293020272	0.909197441	0.888330453	0.759329865	-0.494115128	0.387261641	-0.645853939	0.315495486	-0.073930404	-1.232350295	0.651004654	-0.493829803	-0.378409028	-0.158150136	38660.34731	78796469.83	0.00272154
482	39023003102	0.489204309	0.735012714	0.243666781	0.894033992	1.047155725	-1.616982588	-0.626542575	0.210317455	-0.73154646	0.066713444	-0.073930404	-1.232350295	0.271102823	-0.493829803	1.467197857	0.184983082	14580.46825	10141164.62	0.052137879
483	39023001200	1.282279118	-1.041571154	-1.130549708	-1.084350021	-0.747210049	0.858342885	-0.891397469	-1.332079444	-0.574443505	-0.987648546	0.222844131	0.595800948	-2.389730739	-0.40980842	-1.301212471	-0.056433819	9974.445826	5424657.592	-0.561698016
